,index,zoom,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12
,41,18,148482,116432,148483,116432,148482,116433,148483,116433,148482,116434,148483,116434,148482,116435,148483,116435,148482,116436,148483,116436,148482,116437,148483,116437,
,42,18,148484,116432,148485,116432,148484,116433,148485,116433,148484,116434,148485,116434,148484,116435,148485,116435,148484,116436,148485,116436,148484,116437,148485,116437,
,43,18,148486,116432,148487,116432,148486,116433,148487,116433,148486,116434,148487,116434,148486,116435,148487,116435,148486,116436,148487,116436,148486,116437,148487,116437,
,44,18,148488,116432,148489,116432,148488,116433,148489,116433,148488,116434,148489,116434,148488,116435,148489,116435,148488,116436,148489,116436,148488,116437,148489,116437,
,45,18,148490,116432,148491,116432,148490,116433,148491,116433,148490,116434,148491,116434,148490,116435,148491,116435,148490,116436,148491,116436,148490,116437,148491,116437,
,46,18,148492,116432,148493,116432,148492,116433,148493,116433,148492,116434,148493,116434,148492,116435,148493,116435,148492,116436,148493,116436,148492,116437,148493,116437,
,47,18,148494,116432,148495,116432,148494,116433,148495,116433,148494,116434,148495,116434,148494,116435,148495,116435,148494,116436,148495,116436,148494,116437,148495,116437,
,48,18,148496,116432,148497,116432,148496,116433,148497,116433,148496,116434,148497,116434,148496,116435,148497,116435,148496,116436,148497,116436,148496,116437,148497,116437,
,49,18,148498,116432,148499,116432,148498,116433,148499,116433,148498,116434,148499,116434,148498,116435,148499,116435,148498,116436,148499,116436,148498,116437,148499,116437,
,50,18,148500,116432,148501,116432,148500,116433,148501,116433,148500,116434,148501,116434,148500,116435,148501,116435,148500,116436,148501,116436,148500,116437,148501,116437,
,51,18,148502,116432,148503,116432,148502,116433,148503,116433,148502,116434,148503,116434,148502,116435,148503,116435,148502,116436,148503,116436,148502,116437,148503,116437,
,52,18,148504,116432,148505,116432,148504,116433,148505,116433,148504,116434,148505,116434,148504,116435,148505,116435,148504,116436,148505,116436,148504,116437,148505,116437,
,53,18,148506,116432,148507,116432,148506,116433,148507,116433,148506,116434,148507,116434,148506,116435,148507,116435,148506,116436,148507,116436,148506,116437,148507,116437,
,54,18,148508,116432,148509,116432,148508,116433,148509,116433,148508,116434,148509,116434,148508,116435,148509,116435,148508,116436,148509,116436,148508,116437,148509,116437,
,55,18,148510,116432,148511,116432,148510,116433,148511,116433,148510,116434,148511,116434,148510,116435,148511,116435,148510,116436,148511,116436,148510,116437,148511,116437,
